OS;Local;Descricao;Data Abertura;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Prioridade;Oficina;Tipo;MP;Status
OS89805;REM01-1000-1100-E000005;Corretiva banco;18/11/2021;;;4,55;25/11/2021;25/11/2021;4,55;A;Mecânica;Corretiva;;FECH
OS89806;REM01-1000-1200-E000002;Corretiva banco;04/04/2021;;;4,92;15/05/2021;15/05/2021;4,68;A;Automação;Corretiva;;FECH
OS89807;REM01-2000-2200-X000002;Corretiva banco;11/12/2021;;;3,2;24/12/2021;24/12/2021;3,47;A;Mecânica;Corretiva;;FECH
OS89808;REM01-1000-2200-F000002;Corretiva banco;22/05/2021;;;3,68;26/05/2021;26/05/2021;4,42;A;Mecânica;Corretiva;;FECH
OS89809;REM01-1000-1200-F000001;Corretiva banco;03/04/2021;;;3,8;10/04/2021;10/04/2021;3,8;A;Mecânica;Corretiva;;FECH
OS89810;REM01-1000-1100-E000005;Corretiva banco;12/07/2021;;;4,72;23/07/2021;23/07/2021;4,73;A;Mecânica;Corretiva;;FECH
OS89811;REM01-1000-1100-E000006;Corretiva banco;16/12/2021;;;1,97;;;0;A;Mecânica;Corretiva;;PEND
OS89812;REM01-1000-2200-F000001;Corretiva banco;09/01/2021;;;3,13;21/01/2021;21/01/2021;3,13;A;Automação;Corretiva;;FECH
OS89813;REM01-2000-2200-X000004;Corretiva banco;25/11/2021;;;2,05;02/12/2021;02/12/2021;2,05;A;Elétrica;Corretiva;;FECH
OS89814;REM01-1000-1100-E000004;Corretiva banco;28/01/2021;;;4,75;28/02/2021;01/03/2021;4,77;A;Mecânica;Corretiva;;FECH
OS89815;REM01-1000-1200-E000004;Corretiva banco;06/07/2021;;;1,82;13/07/2021;13/07/2021;1,82;A;Mecânica;Corretiva;;FECH
OS89816;REM01-2000-2200-X000003;Corretiva banco;15/01/2021;;;4,55;11/02/2021;11/02/2021;4,57;A;Elétrica;Corretiva;;FECH
OS89817;REM01-1000-1200-E000005;Corretiva banco;14/12/2021;;;1,58;21/12/2021;21/12/2021;1,58;A;Elétrica;Corretiva;;FECH
OS89818;REM01-3000-3100-C000002;Corretiva banco;23/07/2021;;;1,53;30/07/2021;30/07/2021;1,53;A;Mecânica;Corretiva;;FECH
OS89819;REM01-1000-1100-E000006;Corretiva banco;19/07/2021;;;4,98;26/07/2021;27/07/2021;4,98;A;Elétrica;Corretiva;;FECH
OS89820;REM01-1000-2200-F000002;Corretiva banco;15/07/2021;;;1,67;22/07/2021;22/07/2021;1,67;A;Elétrica;Corretiva;;FECH
OS89821;REM01-2000-2100-X000001;Corretiva banco;08/11/2021;;;3,6;15/11/2021;15/11/2021;3,6;A;Elétrica;Corretiva;;FECH
OS89822;REM01-2000-2200-X000002;Corretiva banco;19/10/2021;;;4,37;26/10/2021;27/10/2021;4,37;A;Mecânica;Corretiva;;FECH
OS89823;REM01-1000-1200-E000005;Corretiva banco;04/07/2021;;;3,52;11/07/2021;11/07/2021;3,52;A;Mecânica;Corretiva;;FECH
OS89824;REM01-1000-1200-E000002;Corretiva banco;07/03/2021;;;2,37;16/03/2021;16/03/2021;1,9;A;Mecânica;Corretiva;;FECH
OS89825;REM01-2000-2200-X000001;Corretiva banco;04/03/2021;;;4,1;15/04/2021;15/04/2021;4,35;A;Mecânica;Corretiva;;FECH
OS89826;REM01-1000-1200-E000001;Corretiva banco;31/10/2021;;;3,98;16/11/2021;16/11/2021;3,75;A;Automação;Corretiva;;FECH
OS89827;REM01-1000-1200-F000001;Corretiva banco;08/12/2021;;;2,05;15/12/2021;15/12/2021;2,05;A;Elétrica;Corretiva;;FECH
OS89828;REM01-1000-1100-E000005;Corretiva banco;10/07/2021;;;2,7;17/07/2021;17/07/2021;2,7;A;Elétrica;Corretiva;;FECH
OS89829;REM01-1000-2200-F000002;Corretiva banco;21/04/2021;;;3,45;28/04/2021;28/04/2021;3,45;A;Mecânica;Corretiva;;FECH
OS89830;REM01-1000-2200-F000002;Corretiva banco;08/01/2021;;;4,12;03/02/2021;03/02/2021;3,9;A;Elétrica;Corretiva;;FECH
OS89831;REM01-1000-1200-E000006;Corretiva banco;21/06/2021;;;1,8;28/06/2021;28/06/2021;1,8;A;Automação;Corretiva;;FECH
OS89832;REM01-2000-2200-X000003;Corretiva banco;04/03/2021;;;4,07;06/04/2021;06/04/2021;4,33;A;Mecânica;Corretiva;;FECH
OS89833;REM01-1000-1100-E000003;Corretiva banco;02/03/2021;;;3,38;24/03/2021;24/03/2021;3,38;A;Elétrica;Corretiva;;FECH
OS89834;REM01-2000-2100-X000005;Corretiva banco;12/06/2021;;;2,1;19/06/2021;19/06/2021;2,1;A;Mecânica;Corretiva;;FECH
OS89835;REM01-2000-2100-X000003;Corretiva banco;07/02/2021;;;1,15;03/03/2021;03/03/2021;1,4;A;Elétrica;Corretiva;;FECH
OS89836;REM01-1000-1200-F000001;Corretiva banco;23/06/2021;;;3,5;30/06/2021;30/06/2021;3,5;A;Mecânica;Corretiva;;FECH
OS89837;REM01-2000-2100-X000005;Corretiva banco;25/11/2021;;;2,37;26/12/2021;26/12/2021;2,62;A;Automação;Corretiva;;FECH
OS89838;REM01-2000-2100-X000005;Corretiva banco;10/03/2021;;;1,07;18/04/2021;18/04/2021;1,57;A;Mecânica;Corretiva;;FECH
OS89839;REM01-3000-3200-T000002;Corretiva banco;13/01/2021;;;1,22;12/02/2021;12/02/2021;0,75;A;Mecânica;Corretiva;;FECH
OS89840;REM01-1000-1100-E000002;Corretiva banco;16/04/2021;;;4,83;26/05/2021;26/05/2021;5,1;A;Mecânica;Corretiva;;FECH
OS89841;REM01-2000-2200-X000005;Corretiva banco;26/12/2020;;;1,05;20/01/2021;20/01/2021;1,3;A;Mecânica;Corretiva;;FECH
OS89842;REM01-1000-1200-E000006;Corretiva banco;20/11/2021;;;3,73;27/11/2021;27/11/2021;3,73;A;Elétrica;Corretiva;;FECH
OS89843;REM01-2000-2200-X000005;Corretiva banco;07/06/2021;;;1,83;24/06/2021;24/06/2021;1,62;A;Mecânica;Corretiva;;FECH
OS89844;REM01-1000-1200-F000002;Corretiva banco;19/06/2021;;;4,77;26/06/2021;26/06/2021;4,77;A;Mecânica;Corretiva;;FECH
OS89845;REM01-1000-1100-E000002;Corretiva banco;15/01/2021;;;1,65;27/01/2021;27/01/2021;1,65;A;Automação;Corretiva;;FECH
OS89846;REM01-2000-2100-X000006;Corretiva banco;08/05/2021;;;4,07;24/05/2021;24/05/2021;4,57;A;Elétrica;Corretiva;;FECH
OS89847;REM01-2000-2100-X000002;Corretiva banco;24/01/2021;;;3,63;05/02/2021;05/02/2021;3,18;A;Elétrica;Corretiva;;FECH
OS89848;REM01-2000-2100-X000006;Corretiva banco;23/07/2021;;;4,6;30/07/2021;30/07/2021;4,6;A;Automação;Corretiva;;FECH
OS89849;REM01-3000-3300-C000001;Corretiva banco;22/05/2021;;;4,65;05/06/2021;06/06/2021;4,42;A;Mecânica;Corretiva;;FECH
OS89850;REM01-3000-3100-C000002;Corretiva banco;07/06/2021;;;3,9;14/06/2021;14/06/2021;3,9;A;Mecânica;Corretiva;;FECH
OS89851;REM01-1000-1200-F000001;Corretiva banco;20/02/2021;;;2,27;04/03/2021;04/03/2021;2,27;A;Automação;Corretiva;;FECH
OS89852;REM01-1000-1100-E000003;Corretiva banco;10/01/2021;;;1,02;20/02/2021;20/02/2021;0,8;A;Elétrica;Corretiva;;FECH
OS89853;REM01-3000-3100-C000001;Corretiva banco;09/10/2021;;;4,82;16/10/2021;16/10/2021;4,82;A;Mecânica;Corretiva;;FECH
OS89854;REM01-2000-2200-X000004;Corretiva banco;28/11/2021;;;3,85;31/12/2021;31/12/2021;3,4;A;Mecânica;Corretiva;;FECH
OS89855;REM01-2000-2100-X000005;Corretiva banco;08/10/2021;;;3,8;27/10/2021;27/10/2021;4,07;A;Mecânica;Corretiva;;FECH
OS89856;REM01-1000-1200-E000005;Corretiva banco;13/10/2021;;;1,93;20/10/2021;20/10/2021;1,93;A;Elétrica;Corretiva;;FECH
OS89857;REM01-1000-1100-E000002;Corretiva banco;08/12/2021;;;3,72;15/12/2021;15/12/2021;3,72;A;Mecânica;Corretiva;;FECH
OS89858;REM01-1000-1100-E000004;Corretiva banco;13/10/2021;;;1,38;20/10/2021;20/10/2021;1,38;A;Elétrica;Corretiva;;FECH
OS89859;REM01-1000-1200-E000001;Corretiva banco;09/01/2021;;;2,92;18/02/2021;18/02/2021;2,93;A;Mecânica;Corretiva;;FECH
OS89860;REM01-2000-2100-X000003;Corretiva banco;15/07/2021;;;3,73;22/07/2021;22/07/2021;3,73;A;Mecânica;Corretiva;;FECH
OS89861;REM01-3000-3200-T000001;Corretiva banco;13/10/2021;;;2,97;20/10/2021;20/10/2021;2,97;A;Elétrica;Corretiva;;FECH
OS89862;REM01-1000-1200-E000002;Corretiva banco;02/02/2021;;;1,32;17/02/2021;17/02/2021;1,33;A;Elétrica;Corretiva;;FECH
OS89863;REM01-1000-1100-E000003;Corretiva banco;30/05/2021;;;3,88;25/06/2021;25/06/2021;4,62;A;Mecânica;Corretiva;;FECH
OS89864;REM01-2000-2200-X000005;Corretiva banco;28/12/2020;;;3,62;04/02/2021;04/02/2021;3,87;A;Elétrica;Corretiva;;FECH
OS89865;REM01-1000-1200-F000001;Corretiva banco;19/06/2021;;;3,8;26/06/2021;26/06/2021;3,8;A;Elétrica;Corretiva;;FECH
OS89866;REM01-1000-1200-E000006;Corretiva banco;20/10/2021;;;2,05;27/10/2021;27/10/2021;2,05;A;Mecânica;Corretiva;;FECH
OS89867;REM01-2000-2100-X000002;Corretiva banco;28/09/2021;;;4,93;06/10/2021;06/10/2021;5,2;A;Mecânica;Corretiva;;FECH
OS89868;REM01-1000-1100-E000003;Corretiva banco;29/05/2021;;;4,33;05/06/2021;05/06/2021;4,33;A;Mecânica;Corretiva;;FECH
OS89869;REM01-1000-1200-E000001;Corretiva banco;04/10/2021;;;4,32;11/10/2021;11/10/2021;4,32;A;Mecânica;Corretiva;;FECH
OS89870;REM01-1000-1100-E000003;Corretiva banco;12/03/2021;;;2,03;01/04/2021;01/04/2021;2,77;A;Automação;Corretiva;;FECH
OS89871;REM01-1000-1200-E000001;Corretiva banco;06/12/2021;;;2,8;21/12/2021;21/12/2021;3,53;A;Elétrica;Corretiva;;FECH
OS89872;REM01-2000-2200-X000001;Corretiva banco;05/06/2021;;;4,88;16/06/2021;16/06/2021;4,42;A;Mecânica;Corretiva;;FECH
OS89873;REM01-3000-3100-C000001;Corretiva banco;07/12/2021;;;4,43;14/12/2021;14/12/2021;4,43;A;Mecânica;Corretiva;;FECH
OS89874;REM01-3000-3100-C000002;Corretiva banco;19/03/2021;;;2,3;23/04/2021;23/04/2021;2,07;A;Mecânica;Corretiva;;FECH
OS89875;REM01-1000-1200-E000002;Corretiva banco;02/04/2021;;;3,95;09/04/2021;09/04/2021;3,95;A;Automação;Corretiva;;FECH
OS89876;REM01-1000-1100-E000006;Corretiva banco;03/12/2021;;;1,97;21/12/2021;21/12/2021;1,98;A;Elétrica;Corretiva;;FECH
OS89877;REM01-1000-1100-E000002;Corretiva banco;14/12/2021;;;2,2;21/12/2021;21/12/2021;2,2;A;Mecânica;Corretiva;;FECH
OS89878;REM01-2000-2200-X000001;Corretiva banco;16/08/2021;;;3,07;27/08/2021;27/08/2021;2,6;A;Elétrica;Corretiva;;FECH
OS89879;REM01-2000-2100-X000001;Corretiva banco;12/03/2021;;;1,05;25/03/2021;25/03/2021;0,82;A;Mecânica;Corretiva;;FECH
OS89880;REM01-1000-2200-F000001;Corretiva banco;09/02/2021;;;2,9;16/03/2021;16/03/2021;3,15;A;Elétrica;Corretiva;;FECH
OS89881;REM01-3000-3100-C000002;Corretiva banco;15/03/2021;;;3,9;05/04/2021;05/04/2021;4,63;A;Mecânica;Corretiva;;FECH
OS89882;REM01-1000-1100-E000002;Corretiva banco;23/03/2021;;;3,12;28/04/2021;28/04/2021;2,88;A;Automação;Corretiva;;FECH
OS89883;REM01-2000-2200-X000005;Corretiva banco;16/08/2021;;;1,2;23/08/2021;23/08/2021;1,2;A;Elétrica;Corretiva;;FECH
OS89884;REM01-1000-1200-F000002;Corretiva banco;12/05/2021;;;1,7;26/05/2021;27/05/2021;1,23;A;Elétrica;Corretiva;;FECH
OS89885;REM01-1000-1200-F000001;Corretiva banco;05/03/2021;;;4,12;09/04/2021;09/04/2021;4,62;A;Elétrica;Corretiva;;FECH
OS89886;REM01-2000-2200-X000004;Corretiva banco;29/04/2021;;;1,62;29/05/2021;29/05/2021;1,63;A;Mecânica;Corretiva;;FECH
OS89887;REM01-3000-3200-T000001;Corretiva banco;29/12/2020;;;3,2;28/01/2021;28/01/2021;2,98;A;Mecânica;Corretiva;;FECH
OS89888;REM01-2000-2100-X000003;Corretiva banco;10/01/2021;;;1,32;06/02/2021;06/02/2021;1,8;A;Mecânica;Corretiva;;FECH
OS89889;REM01-2000-2200-X000002;Corretiva banco;25/01/2021;;;3,52;16/02/2021;16/02/2021;3,53;A;Elétrica;Corretiva;;FECH
OS89890;REM01-1000-2200-F000002;Corretiva banco;13/03/2021;;;4,15;25/04/2021;25/04/2021;4,4;A;Elétrica;Corretiva;;FECH
OS89891;REM01-1000-1200-E000006;Corretiva banco;23/04/2021;;;3,68;10/05/2021;10/05/2021;3,7;A;Mecânica;Corretiva;;FECH
OS89892;REM01-1000-1100-E000006;Corretiva banco;01/08/2021;;;3,73;08/08/2021;08/08/2021;3,73;A;Automação;Corretiva;;FECH
OS89893;REM01-2000-2200-X000004;Corretiva banco;05/05/2021;;;4,4;27/05/2021;27/05/2021;3,95;A;Elétrica;Corretiva;;FECH
OS89894;REM01-1000-1200-E000006;Corretiva banco;06/07/2021;;;3;17/07/2021;17/07/2021;3,25;A;Automação;Corretiva;;FECH
OS89895;REM01-3000-3300-C000001;Corretiva banco;07/02/2021;;;2,78;17/02/2021;17/02/2021;2,55;A;Automação;Corretiva;;FECH
OS89896;REM01-2000-2200-X000004;Corretiva banco;11/05/2021;;;1,4;24/05/2021;24/05/2021;1,4;A;Elétrica;Corretiva;;FECH
OS89897;REM01-1000-1100-E000005;Corretiva banco;20/04/2021;;;3,02;27/04/2021;27/04/2021;3,02;A;Mecânica;Corretiva;;FECH
OS89898;REM01-1000-2200-F000001;Corretiva banco;18/03/2021;;;2,32;19/04/2021;19/04/2021;2,58;A;Elétrica;Corretiva;;FECH
OS89899;REM01-3000-3100-C000001;Corretiva banco;29/12/2020;;;3,78;24/01/2021;24/01/2021;4,03;A;Elétrica;Corretiva;;FECH
OS89900;REM01-2000-2200-X000004;Corretiva banco;11/05/2021;;;4,6;19/05/2021;20/05/2021;4,13;A;Elétrica;Corretiva;;FECH
OS89901;REM01-2000-2200-X000004;Corretiva banco;27/04/2021;;;1,82;20/05/2021;20/05/2021;1,35;A;Mecânica;Corretiva;;FECH
OS89902;REM01-1000-2200-F000001;Corretiva banco;08/12/2021;;;3,77;26/12/2021;26/12/2021;3,78;A;Mecânica;Corretiva;;FECH
OS89903;REM01-2000-2200-X000002;Corretiva banco;12/01/2021;;;2,18;27/01/2021;27/01/2021;2,43;A;Elétrica;Corretiva;;FECH
OS89904;REM01-1000-1100-E000005;Corretiva banco;23/12/2021;;;4,33;30/12/2021;30/12/2021;4,33;A;Automação;Corretiva;;FECH
OS89905;REM01-2000-2200-X000005;Corretiva banco;05/07/2021;;;1,28;24/07/2021;24/07/2021;1,07;A;Mecânica;Corretiva;;FECH
OS89906;REM01-1000-1200-E000003;Corretiva banco;27/11/2021;;;4,58;21/12/2021;22/12/2021;5,32;A;Automação;Corretiva;;FECH
OS89907;REM01-1000-1200-F000002;Corretiva banco;12/05/2021;;;4,23;25/05/2021;26/05/2021;4,23;A;Automação;Corretiva;;FECH
OS89908;REM01-3000-3100-C000002;Corretiva banco;07/05/2021;;;3,35;11/10/2021;11/10/2021;3,35;A;Mecânica;Corretiva;;FECH
OS89909;REM01-1000-2200-F000002;Corretiva banco;02/11/2021;;;3,8;09/11/2021;09/11/2021;3,8;A;Mecânica;Corretiva;;FECH
OS89910;REM01-1000-1200-E000002;Corretiva banco;26/09/2021;;;2,57;23/10/2021;23/10/2021;3,05;A;Mecânica;Corretiva;;FECH
OS89911;REM01-2000-2100-X000002;Corretiva banco;22/02/2021;;;4,55;02/04/2021;03/04/2021;4,08;A;Mecânica;Corretiva;;FECH
OS89912;REM01-2000-2200-X000001;Corretiva banco;08/08/2021;;;3,38;15/08/2021;15/08/2021;3,38;A;Mecânica;Corretiva;;FECH
OS89913;REM01-3000-3200-T000001;Corretiva banco;10/08/2021;;;1,23;17/08/2021;17/08/2021;1,23;A;Mecânica;Corretiva;;FECH
OS89914;REM01-2000-2200-X000005;Corretiva banco;10/09/2021;;;1,82;28/09/2021;28/09/2021;1,6;A;Mecânica;Corretiva;;FECH
OS89915;REM01-1000-1200-E000005;Corretiva banco;21/03/2021;;;2,4;23/11/2021;23/11/2021;2,4;A;Mecânica;Corretiva;;FECH
OS89916;REM01-1000-1100-E000006;Corretiva banco;03/01/2021;;;4,38;15/01/2021;15/01/2021;4,38;A;Mecânica;Corretiva;;FECH
OS89917;REM01-3000-3200-T000002;Corretiva banco;28/06/2021;;;3,25;21/07/2021;21/07/2021;3,75;A;Mecânica;Corretiva;;FECH
OS89918;REM01-3000-3100-C000001;Corretiva banco;09/09/2021;;;3,95;29/09/2021;30/09/2021;4,45;A;Elétrica;Corretiva;;FECH
OS89919;REM01-1000-1100-E000004;Corretiva banco;20/07/2021;;;2,65;27/07/2021;28/07/2021;2,65;A;Automação;Corretiva;;FECH
OS89920;REM01-1000-1200-F000002;Corretiva banco;10/01/2021;;;1,58;01/02/2021;01/02/2021;1,35;A;Elétrica;Corretiva;;FECH
OS89921;REM01-1000-1200-E000003;Corretiva banco;06/05/2021;;;1,93;22/05/2021;23/05/2021;2,2;A;Mecânica;Corretiva;;FECH
OS89922;REM01-2000-2200-X000001;Corretiva banco;29/08/2021;;;2,7;16/09/2021;16/09/2021;2,48;A;Automação;Corretiva;;FECH
OS89923;REM01-1000-1200-F000001;Corretiva banco;27/01/2021;;;1,32;28/02/2021;28/02/2021;0,85;A;Mecânica;Corretiva;;FECH
OS89924;REM01-1000-1200-E000005;Corretiva banco;19/07/2021;;;1,5;26/07/2021;26/07/2021;1,5;A;Mecânica;Corretiva;;FECH
OS89925;REM01-1000-1100-E000004;Corretiva banco;10/11/2021;;;2,97;17/11/2021;17/11/2021;2,97;A;Mecânica;Corretiva;;CONC
OS89926;REM01-3000-3200-T000002;Corretiva banco;27/08/2021;;;1,15;22/09/2021;22/09/2021;0,68;A;Elétrica;Corretiva;;FECH
OS89927;REM01-3000-3200-T000001;Corretiva banco;30/03/2021;;;2,4;11/05/2021;11/05/2021;2,88;A;Elétrica;Corretiva;;FECH
OS89928;REM01-1000-1200-E000003;Corretiva banco;13/09/2021;;;1,15;20/09/2021;20/09/2021;1,15;A;Mecânica;Corretiva;;FECH
OS89929;REM01-2000-2200-X000003;Corretiva banco;04/01/2021;;;2,73;25/01/2021;25/01/2021;3,47;A;Mecânica;Corretiva;;FECH
OS89930;REM01-1000-1200-F000002;Corretiva banco;30/08/2021;;;4,65;26/09/2021;26/09/2021;4,67;A;Mecânica;Corretiva;;FECH
OS89931;REM01-3000-3200-T000001;Corretiva banco;03/01/2021;;;3,83;15/01/2021;15/01/2021;3,83;A;Elétrica;Corretiva;;FECH
OS89932;REM01-1000-1200-E000003;Corretiva banco;09/06/2021;;;1,45;16/06/2021;16/06/2021;1,45;A;Mecânica;Corretiva;;FECH
OS89933;REM01-1000-1100-E000003;Corretiva banco;12/06/2021;;;3,35;19/06/2021;19/06/2021;3,35;A;Mecânica;Corretiva;;FECH
OS89934;REM01-2000-2100-X000005;Corretiva banco;22/06/2021;;;1,93;29/06/2021;29/06/2021;1,93;A;Elétrica;Corretiva;;FECH
OS89935;REM01-3000-3300-C000001;Corretiva banco;26/12/2020;;;4,45;09/09/2021;09/09/2021;4,45;A;Mecânica;Corretiva;;FECH
OS89936;REM01-2000-2100-X000002;Corretiva banco;27/12/2020;;;4,72;25/01/2021;25/01/2021;4,25;A;Mecânica;Corretiva;;FECH
OS89937;REM01-2000-2100-X000005;Corretiva banco;29/01/2021;;;4,37;07/03/2021;08/03/2021;4,85;A;Mecânica;Corretiva;;FECH
OS89938;REM01-1000-1200-E000001;Corretiva banco;04/04/2021;;;2,25;04/05/2021;04/05/2021;1,78;A;Mecânica;Corretiva;;FECH
OS89939;REM01-2000-2200-X000003;Corretiva banco;11/05/2021;;;0,98;24/05/2021;24/05/2021;0,98;A;Elétrica;Corretiva;;FECH
OS89940;REM01-2000-2200-X000006;Corretiva banco;19/07/2021;;;4,88;26/07/2021;26/07/2021;4,88;A;Elétrica;Corretiva;;FECH
OS89941;REM01-1000-1100-E000001;Corretiva banco;06/03/2021;;;2,32;24/03/2021;24/03/2021;1,85;A;Mecânica;Corretiva;;FECH
OS89942;REM01-1000-1200-E000003;Corretiva banco;07/03/2021;;;4,22;11/04/2021;11/04/2021;4,95;A;Elétrica;Corretiva;;FECH
OS89943;REM01-1000-1100-E000003;Corretiva banco;15/08/2021;;;2,32;22/08/2021;22/08/2021;2,32;A;Mecânica;Corretiva;;FECH
OS89944;REM01-2000-2200-X000002;Corretiva banco;18/06/2021;;;2,2;25/06/2021;25/06/2021;2,2;A;Elétrica;Corretiva;;FECH
OS89945;REM01-1000-1200-E000001;Corretiva banco;24/04/2021;;;4,62;24/05/2021;25/05/2021;4,17;A;Mecânica;Corretiva;;FECH
OS89946;REM01-2000-2100-X000004;Corretiva banco;01/07/2021;;;1,8;08/07/2021;08/07/2021;1,8;A;Mecânica;Corretiva;;FECH
OS89947;REM01-2000-2100-X000002;Corretiva banco;08/03/2021;;;2,7;06/04/2021;06/04/2021;3,2;A;Elétrica;Corretiva;;FECH
OS89948;REM01-1000-1200-F000001;Corretiva banco;01/01/2021;;;2,37;26/01/2021;27/01/2021;2,62;A;Elétrica;Corretiva;;FECH
OS89949;REM01-2000-2100-X000001;Corretiva banco;30/03/2021;;;2,57;10/04/2021;11/04/2021;2,58;A;Automação;Corretiva;;FECH
OS89950;REM01-2000-2100-X000002;Corretiva banco;16/08/2021;;;4,28;23/08/2021;23/08/2021;4,28;A;Mecânica;Corretiva;;FECH
OS89951;REM01-2000-2100-X000006;Corretiva banco;14/04/2021;;;4,87;21/04/2021;21/04/2021;4,87;A;Mecânica;Corretiva;;FECH
OS89952;REM01-1000-1100-E000004;Corretiva banco;18/03/2021;;;2;06/04/2021;06/04/2021;1,78;A;Mecânica;Corretiva;;FECH
OS89953;REM01-2000-2200-X000002;Corretiva banco;15/01/2021;;;1,6;27/01/2021;27/01/2021;1,6;A;Elétrica;Corretiva;;FECH
OS89954;REM01-1000-1100-E000005;Corretiva banco;01/01/2021;;;2,65;21/01/2021;21/01/2021;2,2;A;Automação;Corretiva;;FECH
OS89955;REM01-2000-2100-X000006;Corretiva banco;28/06/2021;;;2,78;12/07/2021;12/07/2021;2,32;A;Mecânica;Corretiva;;FECH
OS89956;REM01-2000-2200-X000005;Corretiva banco;04/01/2021;;;3,12;16/01/2021;16/01/2021;3,37;A;Elétrica;Corretiva;;FECH
OS89957;REM01-3000-3300-C000001;Corretiva banco;07/08/2021;;;2,65;14/08/2021;14/08/2021;2,65;A;Mecânica;Corretiva;;FECH
OS89958;REM01-2000-2100-X000002;Corretiva banco;20/04/2021;;;3,4;27/04/2021;27/04/2021;3,4;A;Mecânica;Corretiva;;FECH
